LATITUDE,LONGITUDE,YEAR,OND_SUM
9.25,76.5,1992,846.6643150299788
9.25,76.5,1993,967.2662845849991
9.25,76.5,1994,791.6494006216526
9.25,76.5,1995,547.23365496099
9.25,76.5,1996,627.1268791332841
9.25,76.5,1997,958.8768020868301
9.25,76.5,1998,766.2179353833199
9.25,76.5,1999,658.7259982228279
9.25,76.5,2000,367.6483678370714
9.25,76.5,2001,482.0244380682707
9.25,76.5,2002,699.013082370162
9.25,76.5,2003,671.421748496592
9.25,76.5,2004,484.3556941151619
9.25,76.5,2005,560.6621939241886
9.25,76.5,2006,780.9588796645403
9.25,76.5,2007,421.92328068614006
9.25,76.5,2008,395.55934769660234
9.25,76.5,2009,639.2023649811745
9.25,76.5,2010,992.5961616784334
9.25,76.5,2011,526.0852048769593
9.25,76.5,2012,295.2501458674669
9.25,76.5,2013,426.4229429140687
9.25,76.5,2014,605.6870911121368
9.25,76.5,2015,796.6560512036085
9.25,76.5,2016,209.3204061537981
9.25,76.5,2017,611.1167349815369
9.25,76.5,2018,662.0101556330919
9.25,76.5,2019,791.6353899315
9.25,76.5,2020,482.251975402236
9.25,76.5,2021,1080.9479677379131
9.25,76.5,2022,786.4967696964741
9.25,76.5,2023,1163.0575372576714
9.25,76.75,1901,932.9413116276264
9.25,76.75,1902,744.9879160672426
9.25,76.75,1903,661.7747839689255
9.25,76.75,1904,390.4831084161997
9.25,76.75,1905,489.65251506865025
9.25,76.75,1906,882.5811596661806
9.25,76.75,1907,804.5613557696342
9.25,76.75,1908,651.8426039367914
9.25,76.75,1909,731.9662473201752
9.25,76.75,1910,698.3380887508392
9.25,76.75,1911,702.6550032049417
9.25,76.75,1912,938.1767001152039
9.25,76.75,1913,1014.1711150705814
9.25,76.75,1914,817.8115055561066
9.25,76.75,1915,744.8212311267853
9.25,76.75,1916,663.4420550763607
9.25,76.75,1917,1037.6864721775055
9.25,76.75,1918,1012.3593758791685
9.25,76.75,1919,1041.5018398165703
9.25,76.75,1920,1040.5899956822395
9.25,76.75,1921,521.1707007586956
9.25,76.75,1922,729.0714972913265
9.25,76.75,1923,405.34343932569027
9.25,76.75,1924,742.3018852472305
9.25,76.75,1925,543.1824042499065
9.25,76.75,1926,524.2341281920671
9.25,76.75,1927,499.62456518411636
9.25,76.75,1928,825.6724262535572
9.25,76.75,1929,954.3822035193443
9.25,76.75,1930,976.286609634757
9.25,76.75,1931,629.3272341415286
9.25,76.75,1932,1085.8333555161953
9.25,76.75,1933,753.0862824171782
9.25,76.75,1934,542.4819535762072
9.25,76.75,1935,979.9273190796375
9.25,76.75,1936,562.930241137743
9.25,76.75,1937,686.0570228993893
9.25,76.75,1938,361.00562669336796
9.25,76.75,1939,906.224158257246
9.25,76.75,1940,816.7714507877827
9.25,76.75,1941,480.01991318166256
9.25,76.75,1942,684.5536723136902
9.25,76.75,1943,958.434431001544
9.25,76.75,1944,908.4378110170364
9.25,76.75,1945,880.4685084968805
9.25,76.75,1946,1274.481217727065
9.25,76.75,1947,489.5548018813133
9.25,76.75,1948,613.5682074427605
9.25,76.75,1949,432.0056851655245
9.25,76.75,1950,456.6599121838808
